form	lemma	POS	morph
༄༅། །		PUNCT
སྣང་བ་	སྣང་བ་	VERB
སྐྱོ་	སྐྱོ་	VERB
མུན་	མུན་	NOUN
ནེ་བ་	ནེ་བ་	NO_POS
འི་	གི་	PART
ངང་	ངང་	NOUN
བྲིས་པ་	བྲིས་པ་	VERB
འི་	གི་	PART
གདུང་དབྱངས་	གདུང་དབྱངས་	NOUN
།		PUNCT
ཕ་	ཕ་	NOUN
བླ་མ་	བླ་མ་	NOUN
རྡོ་རྗེ་	རྡོ་རྗེ་	NOUN
འཆང་	འཆང་	NO_POS
བློ་	བློ་	NOUN
གཏེར་	གཏེར་	NOUN
དབང་པོ་	དབང་པོ་	NOUN
ཁྱེད་	ཁྱེད་	PRON
མཁྱེན་	མཁྱེན་	VERB
ནོ་	གོ་	PART
། །		PUNCT
མི་ལ་	མི་ལ་	PROPN
ས་	གིས་	PART
ངན་	ངན་	VERB
བདག་	བདག་	PRON
ལ་ད་	ལ་ད་	PROPN
ལྟ་	ལྟ་	NOUN
རང་	རང་	PRON
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
ས་	གིས་	PART
གཟིགས་	གཟིགས་	VERB
ཤིག་	ཅིག་	PART
།		PUNCT
བུ་	བུ་	NOUN
འཁྲུལ་	འཁྲུལ་	NO_POS
རྟོག་	རྟོག་	VERB
ངན་པ་	ངན་པ་	VERB
ས་	གིས་	PART
བསླད་	བསླད་	NO_POS
གྱུར་	གྱུར་	VERB
ན་	ནས་	PART
། །		PUNCT
རྗེ་	རྗེ་	NO_POS
ཁྱེད་	ཁྱེད་	PRON
ཀྱི་	གི་	PART
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
སྐུ་	སྐུ་	NOUN
མ་	མ་	PART
མཇལ་	མཇལ་	NO_POS
། །		PUNCT
དུས་	དུས་	NOUN
ཐ་ན་	ཐ་ན་	NO_POS
རྨི་ལམ་	རྨི་ལམ་	NOUN
ཙམ་	ཙམ་	DET
དུའང་		NON_WORD
"།
།"		PUNCT
མགོན་	མགོན་	NOUN
ཁྱོད་	ཁྱོད་	PRON
ཀྱི་	གི་	PART
ཞལ་	ཞལ་	NOUN
མཐོང་	མཐོང་	VERB
མེད་པ་	མེད་པ་	VERB
འདི་	འདི་	DET
། །		PUNCT
བདག་	བདག་	PRON
ལས་ངན་	ལས་ངན་	NOUN
སྡིག་པ་	སྡིག་པ་	VERB
ཆེ་བ་	ཆེ་བ་	VERB
འདྲ་	འདྲ་	VERB
། །		PUNCT
རྗེ་	རྗེ་	NO_POS
ཁྱེད་	ཁྱེད་	PRON
ལ་ཁ་	ལ་ཁ་	NOUN
ཞེ་	ཞེ་	PART
མེད་པ་	མེད་པ་	VERB
ཡི་	གི་	PART
"།
།"		PUNCT
སྙིང་	སྙིང་	NOUN
དད་པ་	དད་པ་	VERB
མོས་གུས་	མོས་གུས་	NOUN
གཏིང་	གཏིང་	NOUN
ན་	ནས་	PART
ཡོད་	ཡོད་	VERB
། །		PUNCT
ཁ་ཙམ་	ཁ་ཙམ་	NO_POS
དུ་	ལ་	PART
མིན་	མིན་	AUX
སྙམ་	སྙམ་	VERB
དྲན་	དྲན་	VERB
གྱུར་	གྱུར་	VERB
ཀྱང་	ཀྱང་	PART
། །		PUNCT
རྗེའི་		NON_WORD
ཞལ་	ཞལ་	NOUN
མ་	མ་	PART
བསྟན་	བསྟན་	VERB
དང་	དང་	NO_POS
གསུང་	གསུང་	VERB
མ་	མ་	PART
ཐོས་པ་	ཐོས་པ་	VERB
འདི་	འདི་	DET
"།
།"		PUNCT
མི་	མི་	PART
ང་	ང་	PRON
འི་	གི་	PART
རྒྱུད་	རྒྱུད་	NOUN
དད་པ་	དད་པ་	VERB
གཏིང་	གཏིང་	NOUN
ཚུགས་	ཚུགས་	VERB
མེད་པ་	མེད་པ་	VERB
འདྲ་	འདྲ་	VERB
། །		PUNCT
ང་	ང་	PRON
ལ་	ལ་	PART
མི་	མི་	PART
ཡི་	གི་	PART
བླ་མ་	བླ་མ་	NOUN
མང་	མང་	VERB
ཡོད་	ཡོད་	VERB
ཀྱང་	ཀྱང་	PART
། །		PUNCT
བཀའ་དྲིན་	བཀའ་དྲིན་	NOUN
ཆེ་བ་	ཆེ་བ་	VERB
རྣམ་པ་	རྣམ་པ་	NOUN
ལྔ་	ལྔ་	NUM
"།
།"		PUNCT
དེ་	དེ་	DET
འི་	གི་	PART
ནང་	ནང་	NOUN
གི་	གི་	PART
གཙུག་	གཙུག་	NOUN
གི་	གི་	PART
རྒྱན་	རྒྱན་	NOUN
གཅིག་པུ་	གཅིག་པུ་	ADJ
། །		PUNCT
ཕ་	ཕ་	NOUN
བླ་མ་	བླ་མ་	NOUN
ཁྱེད་	ཁྱེད་	PRON
ལ་	ལ་	ADP
ས་	གིས་	PART
གཞན་	གཞན་	DET
ན་	ལ་	PART
མེད་	མེད་	VERB
། །		PUNCT
རྗེ་	རྗེ་	NO_POS
ཁྱེད་	ཁྱེད་	PRON
ཀྱི་	གི་	PART
རྣམ་ཐར་	རྣམ་ཐར་	NOUN
དྲན་	དྲན་	VERB
ཙ་ན་	ཙ་ན་	NO_POS
"།
།"		PUNCT
བཟོད་	བཟོད་	VERB
རླག་	རླག་	VERB
མེད་པ་	མེད་པ་	VERB
འི་	གི་	PART
མཆི་མ་	མཆི་མ་	NOUN
གདུང་	གདུང་	NOUN
། །		PUNCT
མཚན་	མཚན་	NOUN
བརྗོད་	བརྗོད་	VERB
ན་	ལ་	PART
དད་པ་	དད་པ་	VERB
འི་	གི་	PART
