form	lemma	POS	morph
༄༅། །		PUNCT
རྫོགས་ཆེན་	རྫོགས་ཆེན་	NOUN
ལྟ་བ་	ལྟ་བ་	VERB
འཁྲུལ་	འཁྲུལ་	NO_POS
མེད་	མེད་	VERB
དུ་	ལ་	PART
ངོ་སྤྲོད་པ་	ངོ་སྤྲོད་པ་	NOUN
འི་	གི་	PART
མགུར་མ་	མགུར་མ་	OTHER
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
། །		PUNCT
ཆོས་རྒྱལ་	ཆོས་རྒྱལ་	NOUN
ཞབས་	ཞབས་	NOUN
ལ་མགོ་	ལ་མགོ་	NO_POS
ས་	གིས་	PART
ཕྱག་	ཕྱག་	NOUN
འཚལ་	འཚལ་	VERB
། །		PUNCT
འོད་གསལ་	འོད་གསལ་	NOUN
མཐོང་བ་	མཐོང་བ་	VERB
ར་	ལ་	PART
བྱིན་	བྱིན་	VERB
གྱི་	གི་	PART
རློབས་	རློབས་	VERB
། །		PUNCT
ཨེ་མ་	ཨེ་མ་	INTJ
སྐལ་ལྡན་	སྐལ་ལྡན་	ADJ
རིགས་	རིགས་	NOUN
ཀྱི་	གི་	PART
བུ་	བུ་	NOUN
། །		PUNCT
བེ་	བེ་	NO_POS
ཕུ་	ཕུ་	VERB
ཐང་	ཐང་	NOUN
དུ་	ལ་	PART
བརྡབ་པ་	བརྡབ་པ་	NO_POS
བཞིན་	བཞིན་	NOUN
"།
།"		PUNCT
ལུས་པོ་	ལུས་པོ་	NOUN
གཡོ་འགུལ་	གཡོ་འགུལ་	NOUN
མེད་པ་	མེད་པ་	VERB
སྡོད་	སྡོད་	VERB
། །		PUNCT
ལོག་	ལོག་	VERB
བྲིས་	བྲིས་	VERB
ལྷ་སྐུ་	ལྷ་སྐུ་	NOUN
འི་	གི་	PART
སྤྱན་ཕྱེ་	སྤྱན་ཕྱེ་	NO_POS
བཞིན་	བཞིན་	NOUN
། །		PUNCT
མིག་	མིག་	NOUN
གཉིས་	གཉིས་	NUM
འགྱེད་	འགྱེད་	VERB
འཛུམ་	འཛུམ་	NO_POS
མེད་པ་	མེད་པ་	VERB
ར་	ལ་	PART
ཞོག་	ཞོག་	VERB
།		PUNCT
རས་བལ་	རས་བལ་	NO_POS
ཐང་ལ་	ཐང་ལ་	NO_POS
བརྡལ་བ་	བརྡལ་བ་	NO_POS
